WARNING: ../pv2stall/pv2stall-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv1-sw.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{#000802fc |# ori   |  lui   |  addiu |  (-_-) }
{#000802fc |# ori   |  (-_-) |  lui   |  addiu }
{#000802fc |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000802fc |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080300 |# sw    |  ori   |  (-_-) |  (-_-) }
{#00080300 |# sw    |  (-_-) |  ori   |  (-_-) }
{#00080300 |# sw    |  (-_-) |  (-_-) |  ori   }
{ 00080300 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080304 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080308 |  addiu |  lw    |  sw    |  (-_-) }
{ 0008030c |  lui   |  addiu |  lw    |  sw    }
{#00080310 |# ori   |  lui   |  addiu |  lw    }
{#00080310 |# ori   |  (-_-) |  lui   |  addiu }
{#00080310 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080310 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080314 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080314 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080314 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080314 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080318 |  lui   |  bne   |  (-_-) |  (-_-) }
{#0008031c |# addiu |  lui   |  bne   |  (-_-) }
{#0008031c |# addiu |  (-_-) |  lui   |  bne   }
{#0008031c |# addiu |  (-_-) |  (-_-) |  lui   }
{ 0008031c |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080320 |  lui   |  addiu |  (-_-) |  (-_-) }
{#00080324 |# ori   |  lui   |  addiu |  (-_-) }
{#00080324 |# ori   |  (-_-) |  lui   |  addiu }
{#00080324 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080324 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080328 |  nop   |  ori   |  (-_-) |  (-_-) }
{#0008032c |# sw    |  nop   |  ori   |  (-_-) }
{#0008032c |# sw    |  (-_-) |  nop   |  ori   }
{ 0008032c |  sw    |  (-_-) |  (-_-) |  nop   }
{ 00080330 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080334 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080338 |  lui   |  addiu |  lw    |  sw    }
{#0008033c |# ori   |  lui   |  addiu |  lw    }
{#0008033c |# ori   |  (-_-) |  lui   |  addiu }
{#0008033c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008033c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080340 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080340 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080340 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080340 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080344 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080348 |# addiu |  lui   |  bne   |  (-_-) }
{#00080348 |# addiu |  (-_-) |  lui   |  bne   }
{#00080348 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080348 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008034c |  lui   |  addiu |  (-_-) |  (-_-) }
{#00080350 |# ori   |  lui   |  addiu |  (-_-) }
{#00080350 |# ori   |  (-_-) |  lui   |  addiu }
{#00080350 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080350 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080354 |  nop   |  ori   |  (-_-) |  (-_-) }
{ 00080358 |  nop   |  nop   |  ori   |  (-_-) }
{#0008035c |# sw    |  nop   |  nop   |  ori   }
{ 0008035c |  sw    |  (-_-) |  nop   |  nop   }
{ 00080360 |  lw    |  sw    |  (-_-) |  nop   }
{ 00080364 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080368 |  lui   |  addiu |  lw    |  sw    }
{#0008036c |# ori   |  lui   |  addiu |  lw    }
{#0008036c |# ori   |  (-_-) |  lui   |  addiu }
{#0008036c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008036c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080370 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080370 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080370 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080370 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080374 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080378 |# addiu |  lui   |  bne   |  (-_-) }
{#00080378 |# addiu |  (-_-) |  lui   |  bne   }
{#00080378 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080378 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008037c |  lui   |  addiu |  (-_-) |  (-_-) }
{#00080380 |# ori   |  lui   |  addiu |  (-_-) }
{#00080380 |# ori   |  (-_-) |  lui   |  addiu }
{#00080380 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080380 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080384 |  nop   |  ori   |  (-_-) |  (-_-) }
{ 00080388 |  nop   |  nop   |  ori   |  (-_-) }
{ 0008038c |  nop   |  nop   |  nop   |  ori   }
{ 00080390 |  sw    |  nop   |  nop   |  nop   }
{ 00080394 |  lw    |  sw    |  nop   |  nop   }
{ 00080398 |  addiu |  lw    |  sw    |  nop   }
{ 0008039c |  lui   |  addiu |  lw    |  sw    }
{#000803a0 |# ori   |  lui   |  addiu |  lw    }
{#000803a0 |# ori   |  (-_-) |  lui   |  addiu }
{#000803a0 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000803a0 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000803a4 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000803a4 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000803a4 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000803a4 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000803a8 |  lui   |  bne   |  (-_-) |  (-_-) }
{#000803ac |# addiu |  lui   |  bne   |  (-_-) }
{#000803ac |# addiu |  (-_-) |  lui   |  bne   }
{#000803ac |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000803ac |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000803b0 |  lui   |  addiu |  (-_-) |  (-_-) }
{#000803b4 |# ori   |  lui   |  addiu |  (-_-) }
{#000803b4 |# ori   |  (-_-) |  lui   |  addiu }
{#000803b4 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000803b4 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 000803b8 |  nop   |  ori   |  (-_-) |  (-_-) }
{ 000803bc |  nop   |  nop   |  ori   |  (-_-) }
{ 000803c0 |  nop   |  nop   |  nop   |  ori   }
{ 000803c4 |  nop   |  nop   |  nop   |  nop   }
{ 000803c8 |  sw    |  nop   |  nop   |  nop   }
{ 000803cc |  lw    |  sw    |  nop   |  nop   }
{ 000803d0 |  addiu |  lw    |  sw    |  nop   }
{ 000803d4 |  lui   |  addiu |  lw    |  sw    }
{#000803d8 |# ori   |  lui   |  addiu |  lw    }
{#000803d8 |# ori   |  (-_-) |  lui   |  addiu }
{#000803d8 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000803d8 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000803dc |# bne   |  ori   |  (-_-) |  (-_-) }
{#000803dc |# bne   |  (-_-) |  ori   |  (-_-) }
{#000803dc |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000803dc |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000803e0 |  lui   |  bne   |  (-_-) |  (-_-) }
{#000803e4 |# addiu |  lui   |  bne   |  (-_-) }
{#000803e4 |# addiu |  (-_-) |  lui   |  bne   }
{#000803e4 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000803e4 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000803e8 |  lui   |  addiu |  (-_-) |  (-_-) }
{#000803ec |# ori   |  lui   |  addiu |  (-_-) }
{#000803ec |# ori   |  (-_-) |  lui   |  addiu }
{#000803ec |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000803ec |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 000803f0 |  nop   |  ori   |  (-_-) |  (-_-) }
{ 000803f4 |  nop   |  nop   |  ori   |  (-_-) }
{ 000803f8 |  nop   |  nop   |  nop   |  ori   }
{ 000803fc |  sw    |  nop   |  nop   |  nop   }
{ 00080400 |  lw    |  sw    |  nop   |  nop   }
{ 00080404 |  addiu |  lw    |  sw    |  nop   }
{ 00080408 |  lui   |  addiu |  lw    |  sw    }
{#0008040c |# ori   |  lui   |  addiu |  lw    }
{#0008040c |# ori   |  (-_-) |  lui   |  addiu }
{#0008040c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008040c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080410 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080410 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080410 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080410 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080414 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080418 |# addiu |  lui   |  bne   |  (-_-) }
{#00080418 |# addiu |  (-_-) |  lui   |  bne   }
{#00080418 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080418 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008041c |  nop   |  addiu |  (-_-) |  (-_-) }
{ 00080420 |  lui   |  nop   |  addiu |  (-_-) }
{#00080424 |# ori   |  lui   |  nop   |  addiu }
{#00080424 |# ori   |  (-_-) |  lui   |  nop   }
{#00080424 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080424 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080428 |# sw    |  ori   |  (-_-) |  (-_-) }
{#00080428 |# sw    |  (-_-) |  ori   |  (-_-) }
{#00080428 |# sw    |  (-_-) |  (-_-) |  ori   }
{ 00080428 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 0008042c |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080430 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080434 |  lui   |  addiu |  lw    |  sw    }
{#00080438 |# ori   |  lui   |  addiu |  lw    }
{#00080438 |# ori   |  (-_-) |  lui   |  addiu }
{#00080438 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080438 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#0008043c |# bne   |  ori   |  (-_-) |  (-_-) }
{#0008043c |# bne   |  (-_-) |  ori   |  (-_-) }
{#0008043c |# bne   |  (-_-) |  (-_-) |  ori   }
{ 0008043c |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080440 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080444 |# addiu |  lui   |  bne   |  (-_-) }
{#00080444 |# addiu |  (-_-) |  lui   |  bne   }
{#00080444 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080444 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080448 |  nop   |  addiu |  (-_-) |  (-_-) }
{ 0008044c |  lui   |  nop   |  addiu |  (-_-) }
{#00080450 |# ori   |  lui   |  nop   |  addiu }
{#00080450 |# ori   |  (-_-) |  lui   |  nop   }
{#00080450 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080450 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080454 |  nop   |  ori   |  (-_-) |  (-_-) }
{#00080458 |# sw    |  nop   |  ori   |  (-_-) }
{#00080458 |# sw    |  (-_-) |  nop   |  ori   }
{ 00080458 |  sw    |  (-_-) |  (-_-) |  nop   }
{ 0008045c |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080460 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080464 |  lui   |  addiu |  lw    |  sw    }
{#00080468 |# ori   |  lui   |  addiu |  lw    }
{#00080468 |# ori   |  (-_-) |  lui   |  addiu }
{#00080468 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080468 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#0008046c |# bne   |  ori   |  (-_-) |  (-_-) }
{#0008046c |# bne   |  (-_-) |  ori   |  (-_-) }
{#0008046c |# bne   |  (-_-) |  (-_-) |  ori   }
{ 0008046c |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080470 |  addiu |  bne   |  (-_-) |  (-_-) }
{ 00080474 |  addiu |  addiu |  bne   |  (-_-) }
{#00080478 |# mtc0  |  addiu |  addiu |  bne   }
{#00080478 |# mtc0  |  (-_-) |  addiu |  addiu }
{ 00080478 |  mtc0  |  (-_-) |  (-_-) |  addiu }
{ 0008047c |  bne   |  mtc0  |  (-_-) |  (-_-) }
{-00080480-|- nop  -|  bne   |  mtc0  |  (-_-) }
{ 00080478 |  (-_-) |  (-_-) |  bne   |  mtc0  }
*** PASSED ***
{ 0008047c |  bne   |  (-_-) |  (-_-) |  bne   }
{-00080480-|
