WARNING: ../pv2stall/pv2stall-sim.v:154: $readmemh: Standard inconsistency, following 1364-2005.
VCD info: dumpfile ../tests/build/vmh/parcv1-sw.vcd opened for output.
{ xxxxxxxx |        |        |        |        }
{ 000800ac |  lui   |  bne   |  (-_-) |  (-_-) }
{#000800b0 |# addiu |  lui   |  bne   |  (-_-) }
{#000800b0 |# addiu |  (-_-) |  lui   |  bne   }
{#000800b0 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000800b0 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000800b4 |  lui   |  addiu |  (-_-) |  (-_-) }
{#000800b8 |# ori   |  lui   |  addiu |  (-_-) }
{#000800b8 |# ori   |  (-_-) |  lui   |  addiu }
{#000800b8 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000800b8 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000800bc |# sw    |  ori   |  (-_-) |  (-_-) }
{#000800bc |# sw    |  (-_-) |  ori   |  (-_-) }
{#000800bc |# sw    |  (-_-) |  (-_-) |  ori   }
{ 000800bc |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 000800c0 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 000800c4 |  addiu |  lw    |  sw    |  (-_-) }
{ 000800c8 |  lui   |  addiu |  lw    |  sw    }
{#000800cc |# ori   |  lui   |  addiu |  lw    }
{#000800cc |# ori   |  (-_-) |  lui   |  addiu }
{#000800cc |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000800cc |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000800d0 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000800d0 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000800d0 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000800d0 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000800d4 |  lui   |  bne   |  (-_-) |  (-_-) }
{#000800d8 |# addiu |  lui   |  bne   |  (-_-) }
{#000800d8 |# addiu |  (-_-) |  lui   |  bne   }
{#000800d8 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 000800d8 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 000800dc |  lui   |  addiu |  (-_-) |  (-_-) }
{#000800e0 |# ori   |  lui   |  addiu |  (-_-) }
{#000800e0 |# ori   |  (-_-) |  lui   |  addiu }
{#000800e0 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000800e0 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000800e4 |# sw    |  ori   |  (-_-) |  (-_-) }
{#000800e4 |# sw    |  (-_-) |  ori   |  (-_-) }
{#000800e4 |# sw    |  (-_-) |  (-_-) |  ori   }
{ 000800e4 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 000800e8 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 000800ec |  addiu |  lw    |  sw    |  (-_-) }
{ 000800f0 |  lui   |  addiu |  lw    |  sw    }
{#000800f4 |# ori   |  lui   |  addiu |  lw    }
{#000800f4 |# ori   |  (-_-) |  lui   |  addiu }
{#000800f4 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 000800f4 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#000800f8 |# bne   |  ori   |  (-_-) |  (-_-) }
{#000800f8 |# bne   |  (-_-) |  ori   |  (-_-) }
{#000800f8 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 000800f8 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 000800fc |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080100 |# addiu |  lui   |  bne   |  (-_-) }
{#00080100 |# addiu |  (-_-) |  lui   |  bne   }
{#00080100 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080100 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080104 |  lui   |  addiu |  (-_-) |  (-_-) }
{#00080108 |# ori   |  lui   |  addiu |  (-_-) }
{#00080108 |# ori   |  (-_-) |  lui   |  addiu }
{#00080108 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080108 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#0008010c |# sw    |  ori   |  (-_-) |  (-_-) }
{#0008010c |# sw    |  (-_-) |  ori   |  (-_-) }
{#0008010c |# sw    |  (-_-) |  (-_-) |  ori   }
{ 0008010c |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080110 |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080114 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080118 |  lui   |  addiu |  lw    |  sw    }
{#0008011c |# ori   |  lui   |  addiu |  lw    }
{#0008011c |# ori   |  (-_-) |  lui   |  addiu }
{#0008011c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008011c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#00080120 |# bne   |  ori   |  (-_-) |  (-_-) }
{#00080120 |# bne   |  (-_-) |  ori   |  (-_-) }
{#00080120 |# bne   |  (-_-) |  (-_-) |  ori   }
{ 00080120 |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080124 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080128 |# addiu |  lui   |  bne   |  (-_-) }
{#00080128 |# addiu |  (-_-) |  lui   |  bne   }
{#00080128 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080128 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 0008012c |  lui   |  addiu |  (-_-) |  (-_-) }
{#00080130 |# ori   |  lui   |  addiu |  (-_-) }
{#00080130 |# ori   |  (-_-) |  lui   |  addiu }
{#00080130 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080130 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080134 |  addiu |  ori   |  (-_-) |  (-_-) }
{#00080138 |# sw    |  addiu |  ori   |  (-_-) }
{#00080138 |# sw    |  (-_-) |  addiu |  ori   }
{#00080138 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080138 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 0008013c |  lw    |  sw    |  (-_-) |  (-_-) }
{ 00080140 |  addiu |  lw    |  sw    |  (-_-) }
{ 00080144 |  lui   |  addiu |  lw    |  sw    }
{#00080148 |# ori   |  lui   |  addiu |  lw    }
{#00080148 |# ori   |  (-_-) |  lui   |  addiu }
{#00080148 |# ori   |  (-_-) |  (-_-) |  lui   }
{ 00080148 |  ori   |  (-_-) |  (-_-) |  (-_-) }
{#0008014c |# bne   |  ori   |  (-_-) |  (-_-) }
{#0008014c |# bne   |  (-_-) |  ori   |  (-_-) }
{#0008014c |# bne   |  (-_-) |  (-_-) |  ori   }
{ 0008014c |  bne   |  (-_-) |  (-_-) |  (-_-) }
{ 00080150 |  lui   |  bne   |  (-_-) |  (-_-) }
{#00080154 |# addiu |  lui   |  bne   |  (-_-) }
{#00080154 |# addiu |  (-_-) |  lui   |  bne   }
{#00080154 |# addiu |  (-_-) |  (-_-) |  lui   }
{ 00080154 |  addiu |  (-_-) |  (-_-) |  (-_-) }
{ 00080158 |  lui   |  addiu |  (-_-) |  (-_-) }
{#0008015c |# ori   |  lui   |  addiu |  (-_-) }
{#0008015c |# ori   |  (-_-) |  lui   |  addiu }
{#0008015c |# ori   |  (-_-) |  (-_-) |  lui   }
{ 0008015c |  ori   |  (-_-) |  (-_-) |  (-_-) }
{ 00080160 |  addiu |  ori   |  (-_-) |  (-_-) }
{#00080164 |# sw    |  addiu |  ori   |  (-_-) }
{#00080164 |# sw    |  (-_-) |  addiu |  ori   }
{#00080164 |# sw    |  (-_-) |  (-_-) |  addiu }
{ 00080164 |  sw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080168 |  lui   |  sw    |  (-_-) |  (-_-) }
{#0008016c |# addiu |  lui   |  sw    |  (-_-) }
{#0008016c |# addiu |  (-_-) |  lui   |  sw    }
{#0008016c |# addiu |  (-_-) |  (-_-) |  lui   }
{ 0008016c |  addiu |  (-_-) |  (-_-) |  (-_-) }
{#00080170 |# lw    |  addiu |  (-_-) |  (-_-) }
{#00080170 |# lw    |  (-_-) |  addiu |  (-_-) }
{#00080170 |# lw    |  (-_-) |  (-_-) |  addiu }
{ 00080170 |  lw    |  (-_-) |  (-_-) |  (-_-) }
{ 00080174 |  addiu |  lw    |  (-_-) |  (-_-) }
